,name
938,Geisterzug Gose Quinced
939,Original Schlüssel Alt
940,Aecht Schlenkerla Rauchbier Weizen
941,Ayinger Jahrhundert Bier
942,Andechs Weissbier Dunkel
943,Riegele Augustus Weizendoppelbock
944,Ayinger Altbairisch Dunkel
945,Hacker-Pschorr Oktoberfest Märzen
946,Augustiner Bräu Weissbier
947,Altbier
948,Roundhouse Kick
949,Aecht Schlenkerla Helles Lagerbier
950,Spezial Rauchbier Märzen
951,Kellerbier Ungespundet-Lager hefetrüb (aU Ungespundet Naturtrüb)
952,Hacker-Pschorr Dunkel Weisse (Weisse Dark)
953,Schneider Weisse Tap 7 Unser Original
954,EKU 28
955,Ayinger Maibock
956,Julius Echter Hefe-Weissbier Hell
957,Döllnitzer Ritterguts Gose
958,Geisterzug Gose Rhubarb
959,Andechser Vollbier Hell
960,Schumacher Alt
961,Mühlen Kölsch
962,Kapuziner Weissbier
963,Füchschen Alt
964,Ayinger Oktober Fest-Märzen
965,Schneider Weisse Tap X Aventinus Cuvée Barrique
966,Mönchshof Schwarzbier
967,Bairisch Pils
968,Weihenstephaner 1516 Kellerbier
969,Rothaus Pils Tannen Zäpfle
970,Weihenstephaner Kristallweissbier
971,Franziskaner Hefe-Weisse
972,Uerige Sticke
973,Schneider Weisse Tap X Mein Nelson Sauvin
974,Aecht Schlenkerla Eiche
975,Mönchsambacher Lager
976,Tucher Bajuvator Doppelbock
977,Schneider Weisse Tap 4 Wiesen Edel-Weisse
978,Ayinger Ur-Weisse
979,Hacker-Pschorr Hefe Weisse Naturtrüb
980,Weltenburger Kloster Asam-Bock
981,Weihenstephaner Original
982,Aecht Schlenkerla Rauchbier Märzen
983,Schneider Weisse Tap 5 Meine Hopfenweisse
984,Uerige Doppelsticke
985,Eisbock
986,Weihenstephaner / Sierra Nevada - Braupakt
987,Andechser Weissbier Hell
